Order_ID,Customer_ID,Customer_Name,Customer_Age,Gender,City,State,Pin_Code,Product_ID,Product_Name,Category,Brand,Price,Quantity,Total_Amount,Payment_Method,Order_Status,Order_Date,Delivery_Date,Review_Rating
AMZ-64129,CUST-3187,Kala Naik,25,F,Mysore,Goa,204951,PID-2564,Kurtis,Fashion,"Narayan, Batta and Puri",1350.27,4,5401.08,Cash on Delivery,Shipped,2023-08-31,2023-09-07,
AMZ-11904,CUST-4891,Avni Lal,52,F,Haridwar,Mizoram,099379,PID-6362,Refrigerator,Home Appliances,Menon Inc,33963.4,5,169817.0,Credit Card,Delivered,2024-08-16,2024-08-18,1.0
AMZ-99846,CUST-5979,Eesha Sura,58,M,Kollam,Punjab,310811,PID-4156,Pen,Books & Stationery,Panchal LLC,10.18,1,10.18,UPI,Returned,2024-03-08,,
AMZ-22407,CUST-9344,Ladli Thakkar,39,F,Kolkata,Manipur,431141,PID-8504,Geyser,Home Appliances,Khanna LLC,15885.39,1,15885.39,Debit Card,Delivered,2023-06-10,2023-06-15,
AMZ-50663,CUST-8494,Yutika Kale,38,F,Nandyal,Arunachal Pradesh,812691,PID-3584,Rice,Groceries,"Natarajan, Mukherjee and Dhaliwal",1412.49,4,5649.96,UPI,Delivered,2023-04-30,2023-05-05,5.0
AMZ-11156,CUST-2790,Kala Sane,24,M,Hapur,Nagaland,847414,PID-8718,Headphones,Electronics,"Chadha, Char and Mahajan",6174.38,3,18523.14,Paytm,Delivered,2024-03-29,2024-04-01,
AMZ-97736,CUST-3724,Radhika Sastry,45,F,Durgapur,West Bengal,615051,PID-6375,Exam Guide,Books & Stationery,"Raghavan, Gaba and Lad",1127.36,1,1127.36,UPI,Delivered,2023-09-09,2023-09-14,4.0
AMZ-84277,CUST-1059,Unnati Bansal,63,F,Nizamabad,Uttar Pradesh,420809,PID-4262,Moisturizer,Beauty & Personal Care,Bajaj-Lad,305.53,2,611.06,Cash on Delivery,Delivered,2024-03-05,2024-03-08,
AMZ-92383,CUST-1044,Faris Grewal,57,F,Khammam,Kerala,731631,PID-7698,Perfume,Beauty & Personal Care,Nayar-Jain,5946.81,5,29734.05,Cash on Delivery,Cancelled,2023-07-22,2023-07-29,
AMZ-63062,CUST-3762,Shravya Sandhu,38,M,Jhansi,Tamil Nadu,684179,PID-4288,Shampoo,Beauty & Personal Care,Kothari-Shenoy,353.47,2,706.94,Debit Card,Shipped,2023-02-15,2023-02-21,
AMZ-50773,CUST-9534,Balhaar Dube,25,M,Medininagar,Maharashtra,163067,PID-7962,Moisturizer,Beauty & Personal Care,Choudhury-Oommen,301.78,3,905.34,Net Banking,Delivered,2023-10-05,2023-10-07,2.0
AMZ-86275,CUST-6566,Jagdish Biswas,47,F,Buxar,Goa,151655,PID-7614,Geyser,Home Appliances,Karnik Inc,8807.51,3,26422.53,Debit Card,Delivered,2024-11-10,2024-11-16,2.0
AMZ-37977,CUST-9308,Yauvani Lanka,61,F,South Dumdum,Tamil Nadu,414327,PID-9925,Sneakers,Fashion,Walia LLC,5963.06,2,11926.12,Net Banking,Delivered,2024-03-21,2024-03-24,4.0
AMZ-33987,CUST-1346,Samarth Chowdhury,25,F,Howrah,Manipur,482130,PID-9160,Washing Machine,Home Appliances,"Bir, Buch and Sastry",19405.49,5,97027.45,Cash on Delivery,Delivered,2024-12-23,2024-12-30,3.0
AMZ-91396,CUST-6079,Ayushman Jha,48,M,Dibrugarh,Punjab,018386,PID-8899,Lipstick,Beauty & Personal Care,Sandhu-Talwar,461.57,5,2307.85,Cash on Delivery,Processing,2024-06-29,2024-07-01,
